,PMID,Publication_Title
0,33846703,SARS-CoV-2 spike E484K mutation reduces antibody neutralisation
1,34001652,One-Stop Serum Assay Identifies COVID-19 Disease Severity and Vaccination Responses
2,34862384,Directed evolution of and structural insights into antibody-mediated disruption of a stable receptor-ligand complex
3,35180044,Reduced COVID-19 Vaccine Response in Patients Treated with Biologic Therapies for Asthma
4,35258323,Characterization of immune responses in fully vaccinated individuals after breakthrough infection with the SARS-CoV-2 delta variant
5,35262095,The Serological Sciences Network (SeroNet) for COVID-19: Depth and Breadth of Serology Assays and Plans for Assay Harmonization
6,35289637,Omicron variant Spike-specific antibody binding and Fc activity are preserved in recipients of mRNA or inactivated COVID-19 vaccines
7,35348368,mRNA-1273 and BNT162b2 COVID-19 vaccines elicit antibodies with differences in Fc-mediated effector functions
8,35389888,SARS-CoV-2 -specific immune responses in boosted vaccine recipients with breakthrough infections during the Omicron variant surge
9,35427477,Vaccine protection against the SARS-CoV-2 Omicron variant in macaques
10,35455241,Durability and Cross-Reactivity of SARS-CoV-2 mRNA Vaccine in Adolescent Children
11,35457559,"Pandemic Experience of First Responders: Fear, Frustration, and Stress"
12,35483404,Inflammasome activation in infected macrophages drives COVID-19 pathology
