,User Defined ID,Brief Title,Official Title,Brief Description,Description,Intervention Agent,Endpoints,Sponsoring Organization,Age Unit,Actual Start Date,Hypothesis,Objectives,Target Enrollment,Minimum Age,Maximum Age
10,PMID35704428_study-01,Neutralization of the SARS-CoV-2 Omicron BA.4/5 and BA.2.12.1 Subvariants,Neutralization of the SARS-CoV-2 Omicron BA.4/5 and BA.2.12.1 Subvariants,To characterize infection-induced immunity and vaccine-induced immunity against newly emerged omicron subvariants.,"Emerging subvariants of the B.1.1.529 (omicron) variant of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) have reignited concern about further immune escape. Specifically, BA.2.12.1, which is on the rise in the United States, has two more mutations (L452Q and S704L) than BA.2 (Fig. S1A in the Supplementary Appendix, available with the full text of this letter at NEJM.org). In addition, BA.4 and BA.5 (hereafter, BA.4/5), which bear identical spike proteins, have become the dominant strains in South Africa. Here, we examine neutralizing-antibody titers in serum samples obtained from vaccinated persons who had received a single booster dose of the same vaccine used in the two-dose series and who had been previously infected with SARS-CoV-2.","Moderna COVID-19 vaccine, Pfizer BioNTech COVID-19 vaccine, Johnson & Johnson COVID-19 vaccine",Not provided,Ohio State University,Years,01-Jan-2021,Not Applicable,Serosurveillance ,78,22,87
11,PMID33688034_study-01,A safe and highly efficacious measles virus-based vaccine expressing SARS-CoV-2 stabilized prefusion spike,A safe and highly efficacious measles virus-based vaccine expressing SARS-CoV-2 stabilized prefusion spike,"To develop a safe, efficacious, and durable SARS-CoV-2 vaccine, using a measles virus (rMeV) vaccine strain as the backbone","The current pandemic of COVID-19 caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) highlights an urgent need to develop a safe, efficacious, and durable vaccine. Using a measles virus (rMeV) vaccine strain as the backbone, we developed a series of recombinant attenuated vaccine candidates expressing various forms of the SARS-CoV-2 spike (S) protein and its receptor binding domain (RBD) and evaluated their efficacy in cotton rat, IFNAR-/-mice, IFNAR-/--hCD46 mice, and golden Syrian hamsters. We found that rMeV expressing stabilized prefusion S protein (rMeV-preS) was more potent in inducing SARS-CoV-2-specific neutralizing antibodies than rMeV expressing full-length S protein (rMeV-S), while the rMeVs expressing different lengths of RBD (rMeV-RBD) were the least potent. Animals immunized with rMeV-preS produced higher levels of neutralizing antibody than found in convalescent sera from COVID-19 patients and a strong Th1-biased T cell response. The rMeV-preS also provided complete protection of hamsters from challenge with SARS-CoV-2, preventing replication in lungs and nasal turbinates, body weight loss, cytokine storm, and lung pathology. These data demonstrate that rMeV-preS is a safe and highly efficacious vaccine candidate, supporting its further development as a SARS-CoV-2 vaccine",other,SARS-CoV-2 vaccine | measles virus vector | prefusion spike,Ohio State University,Years,,Not Applicable,Basic Research,6,0,89
12,PMID35756977_study-01,Risk of severe clinical outcomes among persons with SARS-CoV-2 infection with differing levels of vaccination during widespread Omicron (B.1.1.529) and Delta (B.1.617.2) variant circulation in Northern California: A retrospective cohort study,Risk of severe clinical outcomes among persons with SARS-CoV-2 infection with differing levels of vaccination during widespread Omicron (B.1.1.529) and Delta (B.1.617.2) variant circulation in Northern California: A retrospective cohort study,"To assess the risk of severe clinical outcomes, to identify risk factors for severe clinical outcomes among persons with SARS-CoV-2 infection and persons with varying vaccination status for COVID-19 during periods of Omicron versus Delta variant circulation","Background: The incidence of and risk factors for severe clinical outcomes with the Omicron (B.1.1.529) SARS-CoV-2 variant have not been well-defined. Methods: We conducted a retrospective cohort study to assess risks of severe clinical outcomes within 21 days after SARS-CoV-2 diagnosis in a large, diverse, integrated health system. Findings: Among 118,078 persons with incident SARS-CoV-2 infection, 48,101 (41%) were during the Omicron period and 69,977 (59%) during the Delta (B.1.617.2) period. Cumulative incidence of any hospitalization (2.4% versus 7.8%; adjusted hazard ratio [aHR] 0.55; 95% confidence interval [CI] (0.51-0.59), with low-flow oxygen support (1.6% versus 6.4%; aHR 0.46; CI 0.43-0.50), with high-flow oxygen support (0.6% versus 2.8%; aHR 0.47; CI 0.41-0.54), with invasive mechanical ventilation (0.1% versus 0.7%; aHR 0.43; CI 0.33-0.56), and death (0.2% versus 0.7%; aHR 0.54; CI 0.42-0.70) were lower in the Omicron than the Delta period. The risk of hospitalization was higher among unvaccinated persons (aHR 8.34; CI 7.25-9.60) and those who completed a primary COVID-19 vaccination series (aHR 1.72; CI 1.49-1.97) compared with those who completed a primary vaccination series and an additional dose. The strongest risk factors for all severe clinical outcomes were older age, higher body mass index and select comorbidities. Interpretation: Persons with SARS-CoV-2 infection were significantly less likely to develop severe clinical outcomes during the Omicron period compared with the Delta period. COVID-19 primary vaccination and additional doses were associated with reduced risk of severe clinical outcomes among those with SARS-CoV-2 infection.","Moderna COVID-19 vaccine, Pfizer BioNTech COVID-19 vaccine, Johnson & Johnson COVID-19 vaccine",COVID-19 | SARS-CoV-2 Omicron | B.1.1.529 | SARS-CoV-2 Delta | B.1.617.2,Kaiser Foundation Research Institute,Years,05-Jul-2021,Risks of severe clinical outcomes within 21 days in patients infected by Omicron and Delta SARS-CoV-2 variants.,Clinical Research,118078,0,80
13,PMID34150933_study-01,Production of the Receptor-binding Domain of the Viral Spike Proteins from 2003 and 2019 SARS CoVs and the Four Common Human Coronaviruses for Serologic Assays and Inhibitor Screening,Production of the Receptor-binding Domain of the Viral Spike Proteins from 2003 and 2019 SARS CoVs and the Four Common Human Coronaviruses for Serologic Assays and Inhibitor Screening,To express and purify properly folded RBD proteins from SARS and common-cold HCoVs in mammalian cells.,"The recombinant receptor-binding domain (RBD) of the viral spike protein from SARS-CoV-1 and 2 are reliable antigens for detecting viral-specific antibodies in humans. We and others have shown that the levels of RBD-binding antibodies and SARS-CoV-2 neutralizing antibodies in patients are correlated. Here, we report the expression and purification of properly folded RBD proteins from SARS and common-cold HCoVs in mammalian cells. RBD proteins were produced with cleavable tags for affinity purification from the cell culture medium and to support multiple immunoassay platforms and drug discovery efforts. Graphic abstract: High-Yield Production of Viral Spike RBDs for Diagnostics and Drug Discovery",,SARS-CoV-2 | SARS-CoV | Coronavirus | COVID-19 | Antigen | Immunoassay | Halo-tag | Spike protein | Antibody | Inhibitor screening | Drug discovery,University of North Carolina at Chapel Hill,Years,,Not Applicable,Method Development,,0,89
14,PMID35090596_study-01,SARS-CoV-2 mRNA vaccine induces robust specific and cross-reactive IgG and unequal neutralizing antibodies in naive and previously infected people,SARS-CoV-2 mRNA vaccine induces robust specific and cross-reactive IgG and unequal neutralizing antibodies in naive and previously infected people,"To investigate mRNA vaccine-induced antibody responses against the reference strain (WIV04), seven variants (Delta, Alpha, Beta, Gamma, Kappa, Zeta, and Iota) and seasonal coronaviruses in healthy individuals at three time points: before vaccination, after the first dose, and after the second dose","Understanding vaccine-mediated protection against severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) is critical to overcoming the global coronavirus disease 2019 (COVID-19) pandemic. We investigate mRNA-vaccine-induced antibody responses against the reference strain, seven variants, and seasonal coronaviruses in 168 healthy individuals at three time points: before vaccination, after the first dose, and after the second dose. Following complete vaccination, both naive and previously infected individuals developed comparably robust SARS-CoV-2 spike antibodies and variable levels of cross-reactive antibodies to seasonal coronaviruses. However, the strength and frequency of SARS-CoV-2 neutralizing antibodies in naive individuals were lower than in previously infected individuals. After the first vaccine dose, one-third of previously infected individuals lacked neutralizing antibodies; this was improved to one-fifth after the second dose. In all individuals, neutralizing antibody responses against the Alpha and Delta variants were weaker than against the reference strain. Our findings support future tailored vaccination strategies against emerging SARS-CoV-2 variants as mRNA-vaccine-induced neutralizing antibodies are highly variable among individuals.","Pfizer BioNTech COVID-19 vaccine, Moderna COVID-19 vaccine",Antibodies | Neutralizing immunology | Antibodies | Viral immunology | Antibody Formation | COVID-19 immunology | COVID-19 prevention & control | COVID-19 Vaccines administration & dosage | COVID-19 Vaccines immunology | Coronavirus immunology | Cross Reactions | Humans | Immunoglobulin G immunology | Mutation | SARS-CoV-2 genetics | SARS-CoV-2 immunology | Spike Glycoprotein | Coronavirus genetics | Spike Glycoprotein | Coronavirus immunology | Vaccination Vaccines | Synthetic administration & dosage | Vaccines | Synthetic immunology | mRNA Vaccines administration & dosage | mRNA Vaccines immunology,University of North Carolina at Chapel Hill,Years,01-Jun-2020,Vaccine-induced antibody responses in mRNA vaccine receipents,Clinical Research,237,19,72
15,PMID35932763_study-01,Immunological memory to common cold coronaviruses assessed longitudinally over a three-year period pre-COVID19 pandemic,Immunological memory to common cold coronaviruses assessed longitudinally over a three-year period pre-COVID19 pandemic,To assess CCC-specific CD4+ T cell and antibody responses in pre-COVID19-pandemic samples.,"The immune memory to common cold coronaviruses (CCCs) influences SARS-CoV-2 infection outcome, and understanding its effect is crucial for pan-coronavirus vaccine development. We performed a longitudinal analysis of pre-COVID19-pandemic samples from 2016-2019 in young adults and assessed CCC-specific CD4+ T cell and antibody responses. Notably, CCC responses were commonly detected with comparable frequencies as with other common antigens and were sustained over time. CCC-specific CD4+ T cell responses were associated with low HLA-DR+CD38+ signals, and their magnitude did not correlate with yearly CCC infection prevalence. Similarly, CCC-specific and spike RBD-specific IgG responses were stable in time. Finally, high CCC-specific CD4+ T cell reactivity, but not antibody titers, was associated with pre-existing SARS-CoV-2 immunity. These results provide a valuable reference for understanding the immune response to endemic coronaviruses and suggest that steady and sustained CCC responses are likely from a stable pool of memory CD4+ T cells due to repeated earlier exposures and possibly occasional reinfections.",,CD4 | SARS-CoV-2 | T cells | common cold coronaviruses | immune memory | longitudinal analysis | steady state,La Jolla Institute For Immunology,Years,01-Jan-2016,Immunological memory to common cold coronaviruses,Epidemiological Research ,32,18,36
16,PMID35081612_study-01,Identifying and Alleviating Bias Due to Differential Depletion of Susceptible People in Postmarketing Evaluations of COVID-19 Vaccines,Identifying and Alleviating Bias Due to Differential Depletion of Susceptible People in Postmarketing Evaluations of COVID-19 Vaccines,To examine the extent to which biases occur for SARS-CoV-2 vaccines’ efficacy and effectiveness under different scenarios and assessed whether serological testing has the potential to correct this bias,"Recent studies have provided key information about SARS-CoV-2 vaccines' efficacy and effectiveness (VE). One important question that remains is whether the protection conferred by vaccines wanes over time. However, estimates over time are subject to bias from differential depletion of susceptible individuals between vaccinated and unvaccinated groups. We examined the extent to which biases occur under different scenarios and assessed whether serological testing has the potential to correct this bias. By identifying nonvaccine antibodies, these tests could identify individuals with prior infection. We found that in scenarios with high baseline VE, differential depletion of susceptible individuals created minimal bias in VE estimates, suggesting that any observed declines are likely not due to spurious waning alone. However, if baseline VE was lower, the bias for leaky vaccines (which reduce individual probability of infection given contact) was larger and should be corrected for by excluding individuals with past infection if the mechanism is known to be leaky. Conducting analyses both unadjusted and adjusted for past infection could give lower and upper bounds for the true VE. Studies of VE should therefore enroll individuals regardless of prior infection history but also collect information, ideally through serological testing, on this critical variable.",,Bias | epidemics | SARS-CoV-2 | vaccines | waning,Harvard University,Years,,Not Applicable,Epidemiological Research ,20000,0,89
17,PMID34383889_study-01,"Household Transmission of Severe Acute Respiratory Syndrome Coronavirus 2 in the United States: Living Density, Viral Load, and Disproportionate Impact on Communities of Color","Household Transmission of Severe Acute Respiratory Syndrome Coronavirus 2 in the United States: Living Density, Viral Load, and Disproportionate Impact on Communities of Color",To measure the secondary household attack rates of SARS-CoV-2 in vulnerable communities and to indentify risk factors for transmission.,"Background: Households are hot spots for severe acute respiratory syndrome coronavirus 2 transmission. Methods: This prospective study enrolled 100 coronavirus disease 2019 (COVID-19) cases and 208 of their household members in North Carolina though October 2020, including 44% who identified as Hispanic or non-White. Households were enrolled a median of 6 days from symptom onset in the index case. Incident secondary cases within the household were detected using quantitative polymerase chain reaction of weekly nasal swabs (days 7, 14, 21) or by seroconversion at day 28. Results: Excluding 73 household contacts who were PCR-positive at baseline, the secondary attack rate (SAR) among household contacts was 32% (33 of 103; 95% confidence interval [CI], 22%-44%). The majority of cases occurred by day 7, with later cases confirmed as household-acquired by viral sequencing. Infected persons in the same household had similar nasopharyngeal viral loads (intraclass correlation coefficient = 0.45; 95% CI, .23-.62). Households with secondary transmission had index cases with a median viral load that was 1.4 log10 higher than those without transmission (P = .03), as well as higher living density (more than 3 persons occupying fewer than 6 rooms; odds ratio, 3.3; 95% CI, 1.02-10.9). Minority households were more likely to experience high living density and had a higher risk of incident infection than did White households (SAR, 51% vs 19%; P = .01). Conclusions: Household crowding in the context of high-inoculum infections may amplify the spread of COVID-19, potentially contributing to disproportionate impact on communities of color.",,SARS-CoV-2 | Household transmission | Living density | Secondary attack rate | Viral load.,University of North Carolina School of Medicine,Years,01-Apr-2020,Household transmission of SARS-CoV-2 infection,Clinical Research,267,0,77
18,PMID36058184_study-01,Infectious disease dynamics and restrictions on social gathering size,Infectious disease dynamics and restrictions on social gathering size,To develop a model for transmission of SARS-CoV-2 during social gatherings and understand the effects of gathering size restrictions on outbreak dynamics,"Social gatherings can be an important locus of transmission for many pathogens including SARS-CoV-2. During an outbreak, restricting the size of these gatherings is one of several non-pharmaceutical interventions available to policy-makers to reduce transmission. Often these restrictions take the form of prohibitions on gatherings above a certain size. While it is generally agreed that such restrictions reduce contacts, the specific size threshold separating ""allowed"" from ""prohibited"" gatherings often does not have a clear scientific basis, which leads to dramatic differences in guidance across location and time. Building on the observation that gathering size distributions are often heavy-tailed, we develop a theoretical model of transmission during gatherings and their contribution to general disease dynamics. We find that a key, but often overlooked, determinant of the optimal threshold is the distribution of gathering sizes. Using data on pre-pandemic contact patterns from several sources as well as empirical estimates of transmission parameters for SARS-CoV-2, we apply our model to better understand the relationship between restriction threshold and reduction in cases. We find that, under reasonable transmission parameter ranges, restrictions may have to be set quite low to have any demonstrable effect on cases due to relative frequency of smaller gatherings. We compare our conceptual model with observed changes in reported contacts during lockdown in March of 2020",,COVID-19 | Epidemiology | Gatherings | Non-pharmaceutical intervention | SARS-coV-2,Harvard T.h. Chan School of Public Health,Years,,COVID-19 transmission during gatherings,Epidemiological Research ,113253,0,89
19,PMID35576468_study-01,The risk of COVID-19 death is much greater and age dependent with type I IFN autoantibodies,The risk of COVID-19 death is much greater and age dependent with type I IFN autoantibodies,To estimate the fatality rate upon infection with SARS-CoV-2 in unvaccinated subjects carrying auto-Abs against type I IFNs across age groups and sexes,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection fatality rate doubles with every 5 y of age from childhood onward. Circulating autoantibodies neutralizing IFN-α, IFN-ω, and/or IFN-β are found in ∼20% of deceased patients across age groups, and in ∼1% of individuals aged <70 y and in >4% of those >70 y old in the general population. With a sample of 1,261 unvaccinated deceased patients and 34,159 individuals of the general population sampled before the pandemic, we estimated both IFR and relative risk of death (RRD) across age groups for individuals carrying autoantibodies neutralizing type I IFNs, relative to noncarriers. The RRD associated with any combination of autoantibodies was higher in subjects under 70 y old. For autoantibodies neutralizing IFN-α2 or IFN-ω, the RRDs were 17.0 (95% CI: 11.7 to 24.7) and 5.8 (4.5 to 7.4) for individuals <70 y and ≥70 y old, respectively, whereas, for autoantibodies neutralizing both molecules, the RRDs were 188.3 (44.8 to 774.4) and 7.2 (5.0 to 10.3), respectively. In contrast, IFRs increased with age, ranging from 0.17% (0.12 to 0.31) for individuals <40 y old to 26.7% (20.3 to 35.2) for those ≥80 y old for autoantibodies neutralizing IFN-α2 or IFN-ω, and from 0.84% (0.31 to 8.28) to 40.5% (27.82 to 61.20) for autoantibodies neutralizing both. Autoantibodies against type I IFNs increase IFRs, and are associated with high RRDs, especially when neutralizing both IFN-α2 and IFN-ω. Remarkably, IFRs increase with age, whereas RRDs decrease with age. Autoimmunity to type I IFNs is a strong and common predictor of COVID-19 death.",,COVID-19 | Type | IFNs | Autoantibodies | Relative risk | Infection fatality rate,Feinstein Institutes For Medical Research,Years,,Fatality rate upon infection with SARS-CoV-2 in unvaccinated subjects.,Mixed-method,35420,20,99
20,PMID34308390_study-01,Longitudinal metabolomics of human plasma reveals prognostic markers of COVID-19 disease severity ,Longitudinal metabolomics of human plasma reveals prognostic markers of COVID-19 disease severity ,To find metabolic alterations that are predictive of disease severity in SARS-CoV-2-positive individuals,"There is an urgent need to identify which COVID-19 patients will develop life-threatening illness so that med- ical resources can be optimally allocated and rapid treatment can be administered early in the disease course, when clinical management is most effective. To aid in the prognostic classification of disease severity, we perform untargeted metabolomics on plasma from 339 patients, with samples collected at six longitudinal time points. Using the temporal metabolic profiles and machine learning, we build a predictive model of disease severity. We discover that a panel of metabolites measured at the time of study entry suc- cessfully determines disease severity. Through analysis of longitudinal samples, we confirm that most of these markers are directly related to disease progression and that their levels return to baseline upon disease recovery. Finally, we validate that these metabolites are also altered in a hamster model of COVID-19. ",,COVID-19 | SARS-CoV-2 | biomarker | lipidomics | longitudinal metabolite profiling | machine learning | metabolomics | severity prediction | untargeted metabolomics,Washington University In St. Louis,Years,01-Mar-2020,Metabolic alterations that are predictive of disease severity in SARS-CoV-2-positive individuals,Clinical Research,341,18,77
21,PMID35881010_study-01,The Huanan Seafood Wholesale Market in Wuhan was the early epicenter of the COVID-19 pandemic,The Huanan Seafood Wholesale Market in Wuhan was the early epicenter of the COVID-19 pandemic,To understand how the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) emerged in 2019,"Understanding how severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) emerged in 2019 is critical to preventing zoonotic outbreaks before they become the next pandemic. The Huanan Seafood Wholesale Market in Wuhan, China, was identified as a likely source of cases in early reports but later this conclusion became controversial. We show the earliest known COVID-19 cases from December 2019, including those without reported direct links, were geographically centered on this market. We report that live SARS-CoV-2 susceptible mammals were sold at the market in late 2019 and, within the market, SARS-CoV-2-positive environmental samples were spatially associated with vendors selling live mammals. While there is insufficient evidence to define upstream events, and exact circumstances remain obscure, our analyses indicate that the emergence of SARS-CoV-2 occurred via the live wildlife trade in China, and show that the Huanan market was the epicenter of the COVID-19 pandemic.",,Animals | COVID-19-epidemiology | COVID-19-transmission | COVID-19-virology | China-epidemiology | Humans | Pandemics | SARS-CoV-2-isolation & purification | Seafood-virology | Viral Zoonoses-epidemiology | Viral Zoonoses-transmission | Viral Zoonoses-virology,The Scripps Research Institute,Years,01-Dec-2019,Identification of the epicenter of the COVID-19 pandemic. ,Epidemiological Research ,155,0,89
22,PMID35881005_study-01,The molecular epidemiology of multiple zoonotic origins of SARS-CoV-2,The molecular epidemiology of multiple zoonotic origins of SARS-CoV-2,To determine the genomic sequence characteristics of the most recent common ancestor at the root of the SARS-CoV-2 phylogeny,"Understanding the circumstances that lead to pandemics is important for their prevention. Here, we analyze the genomic diversity of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) early in the coronavirus disease 2019 (COVID-19) pandemic. We show that SARS-CoV-2 genomic diversity before February 2020 likely comprised only two distinct viral lineages, denoted A and B. Phylodynamic rooting methods, coupled with epidemic simulations, reveal that these lineages were the result of at least two separate cross-species transmission events into humans. The first zoonotic transmission likely involved lineage B viruses around 18 November 2019 (23 October-8 December), while the separate introduction of lineage A likely occurred within weeks of this event. These findings indicate that it is unlikely that SARS-CoV-2 circulated widely in humans prior to November 2019 and define the narrow window between when SARS-CoV-2 first jumped into humans and when the first cases of COVID-19 were reported. As with other coronaviruses, SARS-CoV-2 emergence likely resulted from multiple zoonotic events.",,Animals | COVID-19-epidemiology | COVID-19-transmission | COVID-19-virology | Computer Simulation | Genetic Variation | Genomics-methods | Humans | Molecular Epidemiology | Pandemics | Phylogeny | SARS-CoV-2-classification | SARS-CoV-2-genetics | SARS-CoV-2-isolation & purification | Viral Zoonoses-epidemiology | Viral Zoonoses-virology,University of California,Years,14-Feb-2020,Not Applicable,Basic Research,,0,89
