,Column Name,User Defined ID,File Name,Name,Description,Type
0,-,PMID35180044_protocol-01,PMID35180044_protocol-01.txt,PMID35180044_protocol-01,Study Protocol,Study Protocol
1,-,PMID35390296_protocol-01,PMID35390296_protocol-01.txt,PMID35390296_protocol-01,Study Protocol,Study Protocol
2,-,PMID34368647_protocol-01,PMID34368647_protocol-01.txt,PMID34368647_protocol-01,Study Protocol,Study Protocol
3,-,PMID35284808_protocol-01,PMID35284808_protocol-01.txt,PMID35284808_protocol-01,Study Protocol,Study Protocol
4,-,PMID35483404_protocol-01,PMID35483404_protocol-01.txt,PMID35483404_protocol-01,Study Protocol,Study Protocol
5,-,PMID34546094_protocol-01,PMID34546094_protocol-01.txt,PMID34546094_protocol-01,Study Protocol,Study Protocol
6,-,PMID34250518_protocol-01,PMID34250518_protocol-01.txt,PMID34250518_protocol-01,Study Protocol,Study Protocol
7,-,PMID34320281_protocol-01,PMID34320281_protocol-01.txt,PMID34320281_protocol-01,Study Protocol,Study Protocol
8,-,PMID35085183_protocol-01,PMID35085183_protocol-01.txt,PMID35085183_protocol-01,Study Protocol,Study Protocol
9,-,PMID35061630_protocol-01,PMID35061630_protocol-01.txt,PMID35061630_protocol-01,Study protocol,Study Protocol
10,-,PMID35704428_protocol-01,PMID35704428_protocol-01.txt,PMID35704428_protocol-01,Study Protocol,Study Protocol
11,-,PMID33688034_protocol-02,PMID33688034_protocol-02.txt,PMID33688034_protocol-02,Study Protocol,Study Protocol
12,-,PMID35756977_protocol-01,PMID35756977_protocol-01.txt,PMID35756977_protocol-01,Study Protocol,Study Protocol
13,-,PMID34150933_protocol-01,PMID34150933_protocol-01.txt,PMID34150933_protocol-01,Study Protocol,Study Protocol
14,-,PMID35090596_protocol-01,PMID35090596_protocol-01.txt,PMID35090596_protocol-01,Study Protocol,Study Protocol
15,-,PMID35932763_protocol-01,PMID35932763_protocol-01.txt,PMID35932763_protocol-01,Study Protocol,Study Protocol
16,-,PMID35081612_protocol-01,PMID35081612_protocol-01.txt,PMID35081612_protocol-01,Study Protocol,Study Protocol
17,-,PMID34383889_protocol-01,PMID34383889_protocol-01.txt,PMID34383889_protocol-01,Study Protocol,Study Protocol
18,-,PMID36058184_protocol-01,PMID36058184_protocol-01.txt,PMID36058184_protocol-01,Study Protocol,Study Protocol
19,-,PMID35576468_protocol-01,PMID35576468_protocol-01.txt,PMID35576468_protocol-01,Study Protocol,Study Protocol
20,-,PMID34308390_protocol-01,PMID34308390_protocol-01.txt,PMID34308390_protocol-01,Study Protocol,Study Protocol
21,-,PMID35881010_protocol-01,PMID35881010_protocol-01.txt,PMID35881010_protocol-01,Study Protocol,Study Protocol
22,-,PMID35881005_protocol-01,PMID35881005_protocol-01.txt,PMID35881005_protocol-01,Study Protocol,Study Protocol
