,Column Name,User Defined ID,File Name,Name,Type,Description
0,-,PMID33767426_protocol-01,PMID33767426_protocol-01.txt,PMID33767426_protocol-01,Study Protocol,Study Protocol
1,-,PMID34133941_protocol-02,PMID34133941_protocol-02.txt,PMID34133941_protocol-02,Study Protocol,Study Protocol
2,-,PMID34688034_protocol-01,PMID34688034_protocol-01.txt,PMID34688034_protocol-01,Study Protocol,Study Protocol
3,-,PMID35764089_protocol-01,PMID35764089_protocol-01.txt,PMID35764089_protocol-01,Study Protocol,Study Protocol
4,-,PMID35605428_protocol-01,PMID35605428_protocol-01.txt,PMID35605428_protocol-01,Study Protocol,Study Protocol
5,-,PMID34594341_protocol-01,PMID34594341_protocol-01.txt,PMID34594341_protocol-01,Study Protocol,Study Protocol
6,-,PMID34861167_protocol-01,PMID34861167_protocol-01.txt,PMID34861167_protocol-01,Study Protocol,Study Protocol
7,-,PMID32678685_protocol-02,PMID32678685_protocol-02.txt,PMID32678685_protocol-02,Study Protocol,Study Protocol
8,-,PMID32941787_protocol-02,PMID32941787_protocol-02.txt,PMID32941787_protocol-02,Study Protocol,Study Protocol
9,-,PMID35857529_protocol-01,PMID35857529_protocol-01.txt,PMID35857529_protocol-01,Study Protocol,Study Protocol
10,-,PMID33822097_protocol-02,PMID33822097_protocol-02.txt,PMID33822097_protocol-02,Study Protocol,Study Protocol
11,-,PMID36480499_protocol-01,PMID36480499_protocol-01.txt,PMID36480499_protocol-01,Study Protocol,Study Protocol
12,-,PMID33798476_protocol-01,PMID33798476_protocol-01.txt,PMID33798476_protocol-01,Study Protocol,Study Protocol
13,-,PMID34951746_protocol-01,PMID34951746_protocol-01.txt,PMID34951746_protocol-01,Study Protocol,Study Protocol
14,-,PMID37264688_protocol-01,PMID37264688_protocol-01.txt,PMID37264688_protocol-01,Study Protocol,Study Protocol
15,-,PMID34862384_protocol-01,PMID34862384_protocol-01.txt,PMID34862384_protocol-01,Study Protocol,Study Protocol
16,-,PMID36597886_protocol-01,PMID36597886_protocol-01.txt,PMID36597886_protocol-01,Study Protocol,Study Protocol
17,-,PMID35102312_protocol-01,PMID35102312_protocol-01.txt,PMID35102312_protocol-01,Study Protocol,Study Protocol
18,-,PMID36208629_protocol-01,PMID36208629_protocol-01.txt,PMID36208629_protocol-01,Study Protocol,Study Protocol
19,-,PMID37863065_protocol-01,PMID37863065_protocol-01.txt,PMID37863065_protocol-01,Study Protocol,Study Protocol
20,-,PMID36192374_protocol-01,PMID36192374_protocol-01.txt,PMID36192374_protocol-01,Study Protocol,Study Protocol
21,-,PMID37695910_protocol-01,PMID37695910_protocol-01.txt,PMID37695910_protocol-01,Study Protocol,Study Protocol
